variable,importance
cate_3_name__奶茶,2.23727198051e-06
per_pay__13,2.12673982986e-06
per_pay__15,1.84874725291e-06
cate_3_name__面包,1.84377817448e-06
per_pay__6,1.64158914978e-06
cate_3_name__蛋糕,1.58400569783e-06
per_pay__14,1.53244779194e-06
per_pay__7,1.51473073984e-06
per_pay__8,1.35152195535e-06
open_ratio,1.30256941907e-06
weather_2016-10-21,1.16039121789e-06
per_pay__12,1.15549169928e-06
per_pay__4,1.0114073167e-06
cate_2_name__中餐,7.20972476297e-07
cate_3_name__饮品/甜点,7.06659368858e-07
per_pay__11,3.46607063754e-07
cate_2_name__火锅,3.38306310123e-07
cate_2_name__其他,1.41665745334e-07
cate_1_name__其他,0.0
