variable,importance
view_2016-09-21,7.27035698707e-05
weather_2016-10-17,7.25902278072e-05
view_2016-10-20,6.96027756733e-05
ids_stable_period_1,6.85599594775e-05
view_2016-09-22,6.54032978364e-05
view_2016-10-14,6.30012046218e-05
cate_2_name__休闲食品,6.30005110843e-05
weather_2016-10-22,6.26313042093e-05
per_pay__18,6.20465316568e-05
cate_2_name__超市,6.05211386701e-05
view_2016-09-20,5.98135324202e-05
score__0.0,5.83371589115e-05
cate_1_name__美食,5.68255314389e-05
cate_1_name__超市便利店,5.14492764845e-05
weather_2016-09-26,5.05723330907e-05
weather_2016-09-24,5.04961669103e-05
ids_stable_period_3,4.86754061108e-05
shop_level__2,4.86115554269e-05
ids_no_stable_period,4.76429399085e-05
city_name__杭州,4.55251553697e-05
cate_3_name__西式快餐,4.50230870265e-05
city_name__深圳,4.39147756197e-05
cate_3_name__生鲜水果,4.10774486146e-05
per_pay__2,4.09185366655e-05
cate_3_name__中式快餐,3.90757022423e-05
per_pay__16,3.8738352775e-05
weather_2016-09-23,3.81257805325e-05
cate_3_name__面点,3.45884623257e-05
cate_2_name__便利店,3.29791349749e-05
per_pay__9,3.28860082868e-05
city_name__南京,3.19553910101e-05
cate_2_name__烘焙糕点,3.04847014109e-05
weather_2016-09-21,3.03540500934e-05
per_pay__17,2.9093003521e-05
cate_3_name__其它小吃,2.88962098947e-05
cate_2_name__休闲茶饮,2.88572726379e-05
weather_2016-09-25,2.82861712618e-05
weather_2016-09-22,2.82659828866e-05
per_pay__4,2.25043748474e-05
per_pay__20,2.17441950913e-05
open_ratio,2.16504916514e-05
cate_3_name__面包,1.9432372446e-05
per_pay__10,1.67148263024e-05
city_name__武汉,1.63094397987e-05
per_pay__3,1.58346737626e-05
city_name__广州,1.56450634323e-05
cate_3_name__奶茶,1.51579894558e-05
city_name__北京,1.39217493977e-05
per_pay__13,1.08396467433e-05
per_pay__15,1.0621419326e-05
per_pay__8,9.78956917404e-06
per_pay__14,8.95839957501e-06
per_pay__7,8.44909358604e-06
weather_2016-10-21,7.72730539597e-06
cate_3_name__饮品/甜点,6.94362572765e-06
per_pay__12,6.83297573783e-06
per_pay__6,6.73340957193e-06
cate_2_name__中餐,6.41376984137e-06
cate_3_name__蛋糕,4.02715844188e-06
cate_2_name__其他美食,3.99634463141e-06
per_pay__11,2.95982156274e-06
cate_2_name__火锅,1.66297330725e-06
cate_2_name__其他,4.08604461811e-07
cate_1_name__其他,1.08727248779e-08
